source,feature,rank_in_source,source_score
pca_sep,Ag,1,0.8240205196847661
pca_sep,K,2,0.8071614976786031
pca_sep,Al,3,0.5942749137577537
pca_sep,Na,4,0.5878830846893247
pca_sep,In,5,0.4888870860661839
pca_sep,Rb,6,0.4595681409327532
pca_sep,As,7,0.4533650268301809
pca_sep,Hg,8,0.441288637340218
bayes_single,In,1,0.5004000080139738
bayes_single,Zn,2,0.4600919952180456
bayes_single,V,3,0.4550073402019483
bayes_single,Ba,4,0.4264822504400954
bayes_single,Bi,5,0.4123223204598042
bayes_single,Ca,6,0.4092886386905067
bayes_single,Sr,7,0.4075432254448648
bayes_single,Hg,8,0.4056276608421448
bayes_loo,Ba,1,0.1140852826075452
bayes_loo,Hg,2,0.0339118210360143
bayes_loo,V,3,0.0121572883394465
bayes_loo,Pb,4,0.0060093267033989
bayes_loo,Al,5,0.0057971014492754
bayes_loo,Ca,6,0.0049283726767959
bayes_loo,Sr,7,0.0049136547962984
bayes_loo,K,8,0.004601135311314
bayes_llr,U,1,485.1217901578887
bayes_llr,Cs,2,466.1699388267873
bayes_llr,Tl,3,388.6758246858069
bayes_llr,Ba,4,265.50659692910773
bayes_llr,Bi,5,245.3388028371137
bayes_llr,V,6,225.58279759026703
bayes_llr,In,7,156.91187210823796
bayes_llr,Co,8,125.3744707647268
fisher_coef,V,1,23.522105197713948
fisher_coef,Co,2,19.242621241273472
fisher_coef,Cs,3,17.686759733209833
fisher_coef,As,4,10.379766534144334
fisher_coef,Ga,5,9.334823537124109
fisher_coef,Sr,6,8.263069875628979
fisher_coef,Ca,7,7.906164602395674
fisher_coef,U,8,7.873562361472093
skew_kurt_delta,Bi,1,150.9150407624496
skew_kurt_delta,Be,2,96.01926737540902
skew_kurt_delta,Tl,3,79.63347754803942
skew_kurt_delta,Cd,4,68.89553476761287
skew_kurt_delta,Cs,5,66.26517213560456
skew_kurt_delta,Co,6,53.90798238102448
skew_kurt_delta,Ni,7,49.4242470670514
skew_kurt_delta,Mn,8,41.84587147241422
signif_anova,V,1,109.157118674041
signif_anova,Zn,2,95.214973229468
signif_anova,Sr,3,80.20708750183785
signif_anova,Ca,4,68.29272108014365
signif_anova,Ba,5,67.10897474494881
signif_anova,Hg,6,65.78363190314208
signif_anova,Rb,7,63.8556464292244
signif_anova,In,8,48.35556608573632
signif_ttest,K,1,30.828205311815207
signif_ttest,Na,2,21.401652223528863
signif_ttest,Al,3,15.230289772579937
signif_ttest,In,4,14.350696941017814
signif_ttest,Sr,5,14.056008249510716
signif_ttest,Rb,6,11.140662148276691
signif_ttest,Zn,7,11.02141444086135
signif_ttest,Ca,8,9.531934797509855
logreg_ckdu,Ag,1,1.2301374264957117
logreg_ckdu,K,2,1.176812654644842
logreg_ckdu,Ba,3,1.164274952003029
logreg_ckdu,Ca,4,1.1135647186204694
logreg_ckdu,As,5,1.0824570119998826
logreg_ckdu,Na,6,0.6725665922733858
logreg_ckdu,Al,7,0.6566999209235754
logreg_ckdu,Mg,8,0.5973957683299077
ridge_ckdu,As,1,0.5596240112489886
ridge_ckdu,Ca,2,0.5025085733065043
ridge_ckdu,Rb,3,0.2905205971864956
ridge_ckdu,Cs,4,0.289535377189491
ridge_ckdu,Tl,5,0.1893339765584683
ridge_ckdu,Ga,6,0.1719065832554965
ridge_ckdu,V,7,0.1662920469089783
ridge_ckdu,K,8,0.1477096624088352
gmm_effect,K,1,1.4740000053975866
gmm_effect,Na,2,1.0124352877352731
gmm_effect,Ag,3,0.9480042859110424
gmm_effect,Al,4,0.899012376214644
gmm_effect,In,5,0.6892690914293299
gmm_effect,Sr,6,0.6834449808425384
gmm_effect,Hg,7,0.6296150054993521
gmm_effect,Zn,8,0.6146196831975224
nn_perm,Hg,1,0.2230247903499257
nn_perm,Na,2,0.1530532935487334
nn_perm,K,3,0.0724577982187108
nn_perm,Al,4,0.0715020987934922
nn_perm,Ag,5,0.0521374059822652
nn_perm,V,6,0.0428713104697596
nn_perm,Ba,7,0.03576015752136
nn_perm,Zn,8,0.0312357680311079
