feature,gmm_effect_size_ckdu_vs_rest,abs_effect_size
K,-1.4740000053975866,1.4740000053975866
Na,-1.0124352877352731,1.0124352877352731
Ag,0.9480042859110424,0.9480042859110424
Al,-0.899012376214644,0.899012376214644
In,-0.6892690914293299,0.6892690914293299
Sr,-0.6834449808425384,0.6834449808425384
Hg,-0.6296150054993521,0.6296150054993521
Zn,-0.6146196831975224,0.6146196831975224
Rb,-0.6064768659803517,0.6064768659803517
Ca,-0.5940131088894296,0.5940131088894296
As,0.5349518187812992,0.5349518187812992
Fe,-0.5213094006193676,0.5213094006193676
Bi,-0.5097127820889575,0.5097127820889575
Ba,0.5091741746384602,0.5091741746384602
U,0.4268593775373692,0.4268593775373692
Tl,0.4202179976998057,0.4202179976998057
Cr,-0.4011590653003149,0.4011590653003149
Mn,0.3928302216185277,0.3928302216185277
Cd,0.36342094346692516,0.36342094346692516
Li,-0.32995653928638646,0.32995653928638646
V,-0.30045697943502425,0.30045697943502425
Co,0.28724163759534466,0.28724163759534466
Se,0.2749606225366373,0.2749606225366373
Cs,0.2515805077612671,0.2515805077612671
Cu,0.241172542231637,0.241172542231637
Ni,-0.23321614269335028,0.23321614269335028
Ga,0.20796696024080974,0.20796696024080974
Mg,-0.18119235924262037,0.18119235924262037
Be,0.08580698454807807,0.08580698454807807
Pb,0.037672717312008996,0.037672717312008996
