feature,perm_importance_mean,perm_importance_std
Hg,0.22302479034992578,0.027157567946562638
Na,0.15305329354873345,0.043679479057904695
K,0.07245779821871082,0.023517217878870112
Al,0.07150209879349223,0.013602309058057128
Ag,0.05213740598226525,0.014300798441695227
V,0.0428713104697596,0.013643696756080181
Ba,0.03576015752136004,0.02470550282296481
Zn,0.031235768031107974,0.013160602862906224
Mg,0.028360086532034798,0.012274955501125267
Ca,0.013975690746358543,0.01135575176637304
Pb,0.011721986499832304,0.009922785997549638
Bi,0.01071810958806066,0.0063216661028663865
In,0.006830896765413319,0.0076412808897108895
Li,0.006334512078414539,0.01108340558539247
Cr,0.004831252178178785,0.0071454061550528586
Ni,0.004829800377946461,0.009865655875280151
Sr,0.004521044025939988,0.005861248435951549
Ga,0.00244811613232665,0.004240261524018771
As,0.001383265856950075,0.003659777454576545
Rb,0.0011928203262502324,0.012215870017832262
Co,0.0011772723400630403,0.003114769837201867
Mn,0.0,0.0
Tl,0.0,0.0
Cs,0.0,0.0
U,0.0,0.0
Cd,0.0,0.0
Be,-0.0016602564102563971,0.004392625574139254
Se,-0.0016602564102563971,0.004392625574139254
Fe,-0.002143240480449754,0.007113192188401835
Cu,-0.0022733364622491564,0.011665008338839515
