feature,pca_ckdu_separation_score,abs_score,legacy_alias
Ag,0.8240205196847661,0.8240205196847661,F21
K,-0.8071614976786031,0.8071614976786031,F3
Al,-0.5942749137577537,0.5942749137577537,F7
Na,-0.5878830846893247,0.5878830846893247,F1
In,-0.4888870860661839,0.4888870860661839,F23
Rb,-0.4595681409327532,0.4595681409327532,F19
As,0.45336502683018093,0.45336502683018093,F17
Hg,-0.44128863734021806,0.44128863734021806,F26
Sr,-0.425310641063273,0.425310641063273,F20
Tl,0.41384455982765167,0.41384455982765167,F27
U,0.40184656103762256,0.40184656103762256,F30
Ca,-0.392451619982211,0.392451619982211,F4
Cd,0.3673162692650985,0.3673162692650985,F22
Zn,-0.36539978259422695,0.36539978259422695,F15
Co,0.36029109159931705,0.36029109159931705,F12
Cs,0.3566156009917216,0.3566156009917216,F24
Mn,0.32560754731085395,0.32560754731085395,F10
Ba,0.32255927837908704,0.32255927837908704,F25
Li,-0.31736870925106064,0.31736870925106064,F5
Fe,-0.29762618781246386,0.29762618781246386,F11
Cr,-0.2282673647828765,0.2282673647828765,F9
Bi,-0.22298226344054814,0.22298226344054814,F29
V,-0.20997075136940413,0.20997075136940413,F8
Se,0.19397538636091644,0.19397538636091644,F18
Mg,-0.18854149671075016,0.18854149671075016,F2
Ni,-0.17073027324472706,0.17073027324472706,F13
Cu,0.1431707625299633,0.1431707625299633,F14
Ga,0.1379047795623173,0.1379047795623173,F16
Pb,-0.0016592339200516698,0.0016592339200516698,F28
Be,0.0005569947630729433,0.0005569947630729433,F6
