feature,ridge_w,abs_w
As,0.5596240112489886,0.5596240112489886
Ca,-0.5025085733065043,0.5025085733065043
Rb,0.2905205971864956,0.2905205971864956
Cs,-0.289535377189491,0.289535377189491
Tl,0.18933397655846834,0.18933397655846834
Ga,-0.1719065832554965,0.1719065832554965
V,-0.16629204690897834,0.16629204690897834
K,-0.14770966240883524,0.14770966240883524
Mn,0.1189300947780239,0.1189300947780239
Co,-0.11323726957760262,0.11323726957760262
Ba,0.1019913606032628,0.1019913606032628
Al,-0.09229532535879381,0.09229532535879381
Bi,0.09092305996758099,0.09092305996758099
Sr,0.06784594971893411,0.06784594971893411
Se,-0.06540350200389823,0.06540350200389823
U,-0.06464724581498037,0.06464724581498037
Mg,0.06114692207559638,0.06114692207559638
In,0.04543201250811788,0.04543201250811788
Zn,0.0331496163372625,0.0331496163372625
Cd,-0.027611641306385652,0.027611641306385652
Ag,0.027539000309801973,0.027539000309801973
Cr,-0.01713498635947121,0.01713498635947121
Pb,0.012833500966973655,0.012833500966973655
Be,-0.010604443265168578,0.010604443265168578
Hg,-0.008366497891207837,0.008366497891207837
Li,0.008145842867187308,0.008145842867187308
Fe,-0.002996595849545161,0.002996595849545161
Ni,-0.002087609059581127,0.002087609059581127
Na,-0.0013206212352390306,0.0013206212352390306
Cu,1.7459572030324706e-05,1.7459572030324706e-05
