feature,t_p,t_neglog10p,mw_p,mw_neglog10p
K,1.4852333353154263e-31,30.828205311815207,5.06552512316555e-22,21.29537552636061
Na,3.965954948205115e-22,21.401652223528863,1.5366326662409304e-12,11.813429938675334
Al,5.884508945899771e-16,15.230289772579937,4.168022866670241e-13,12.380069907069025
In,4.459673443690287e-15,14.350696941017814,2.2860765908748655e-19,18.640909223443316
Sr,8.790058197806028e-15,14.056008249510716,2.698879201167115e-05,4.568816553546707
Rb,7.233322883671972e-12,11.140662148276693,1.5765391231879704e-07,6.802295247387485
Zn,9.518873583024416e-12,11.02141444086135,0.012389536143930109,1.9069449530188183
Ca,2.938090726991724e-10,9.531934797509855,3.775704908599649e-23,22.42300195546898
Fe,1.5446351034424098e-08,7.81117409959081,5.976550625279918e-14,13.223549397386678
Hg,2.322018199060752e-08,7.634134380755633,0.57746578042375,0.23847374617773806
Ag,7.708173556027248e-07,6.113048515400035,2.1328411691465624e-14,13.671041484884165
Cr,1.1711347269966291e-05,4.931393140943422,5.706917749372975e-14,13.243598386650422
Bi,5.644368903151804e-05,4.248384609487586,0.787556433852235,0.10371831622727498
Li,0.0007642558138940141,3.11676124879751,2.6843106576427896e-05,4.5711672243105355
V,0.0014249633270730642,2.8461963125359966,0.2928267855070119,0.5333891999297821
Ba,0.002196744206636048,2.658220510268371,0.004679059661551314,2.329841417189242
Ni,0.0025001982952976443,2.6020255452726206,8.03435927434979e-13,12.095048751720737
As,0.0031226177935890507,2.505481169882306,1.7737506689374053e-19,18.75110742774827
U,0.027052126591683556,1.567798588940729,5.381464545106584e-05,4.269099516656663
Tl,0.029371753141847583,1.5320701305249587,0.0005398991720334712,3.2676873385438907
Mn,0.05127132013145452,1.2901255002224632,0.0003963208750334385,3.4019530518821424
Cd,0.06591614620143016,1.1810081916686224,0.09562231112108956,1.0194407639344496
Co,0.14194114801855795,0.8478916865235854,0.0182109810242968,1.7396666581609959
Cs,0.18748779702781768,0.7270269938346487,0.3091981943958866,0.509763050866884
Se,0.21158892759820488,0.6745070625764431,0.01481746473848397,1.829226097589876
Mg,0.32684086001185997,0.4856636554186244,0.5501244719998131,0.2595390352573151
Cu,0.3397378921983716,0.46885601199100707,1.5731951946110053e-06,5.803217388830503
Ga,0.4121460377592496,0.384948870969048,0.005591481604258947,2.2524730995738644
Be,0.581515173832957,0.2354389484747512,0.5901793300449718,0.22901600494213684
Pb,0.614060047659498,0.21178915802486675,0.7792036952678263,0.10834899654188859
