feature,delta_skew_ckdu_minus_rest,delta_kurtosis_ckdu_minus_rest,delta_norm
Bi,-8.587408807562039,-150.6705211323822,150.9150407624496
Be,-4.547076733183448,-95.91154153955002,96.01926737540902
Tl,-4.119476882137033,-79.52685493977263,79.63347754803942
Cd,-3.8795666917813127,-68.78621717465917,68.89553476761287
Cs,6.168295424195579,65.97745955795169,66.26517213560456
Co,-2.424166914692325,-53.85344909253777,53.90798238102448
Ni,-3.865107753157888,-49.27288443151484,49.4242470670514
Mn,-3.1494369862299285,-41.72718545451606,41.84587147241422
Ag,-4.150518857505678,-40.96068413845136,41.17043176694278
V,4.164245001828206,36.24501728720108,36.483451242786174
Li,-2.8376988147915148,-27.557253154791184,27.70297341443185
Pb,2.3803496058925733,24.217322034448372,24.334024549310612
Ga,-1.3566074460088267,-23.02474964166472,23.064680353820346
Cu,2.0404974208931863,11.140941121093846,11.326261465653685
As,-0.17460392617604015,-11.296131080196872,11.297480423175154
Mg,-1.5734272410225092,-9.592502063350178,9.720687687513118
Ba,0.7125050907683059,9.433864534266089,9.460732717673313
In,-2.4276025179984595,-9.007078263256203,9.328489311020023
Fe,0.8069476948466381,8.248790825760977,8.288167147770174
Hg,1.0412695953083908,6.669827767403172,6.750618106287459
Ca,1.0749056636563332,6.467969316277912,6.556679743747824
Sr,-2.7153147518134277,-5.686177298055355,6.301233725734646
Se,1.252114308818916,5.828573441284062,5.961548339382229
U,0.9559298943977481,4.335325802352276,4.439465257837333
Zn,-1.5174675609812316,-3.843924158339406,4.132609433964893
Al,-0.5607118624010693,-3.920101839861017,3.9599995236766135
Cr,0.555054649263993,3.370057835826728,3.415461239786905
Rb,-0.4195218538078831,-1.6352767197802667,1.6882323702848823
Na,-0.03432346902374128,1.5265420018823184,1.5269278254183136
K,-0.44858987077959367,-0.15386489175730267,0.47424390041574493
